小説	ID	Property	原文	述語	修正	メモ
ACaseOfIdentity.tsv	69	hasProperty	5年2ヶ月年上である	5 years 2 months older		hasPropertyへ
ACaseOfIdentity.tsv	158	hasProperty	ない	Absent	absent	hasPropertyへ？
SpeckledBand.tsv	135	hasPredicate	承諾した	accept		承諾する
CrookedMan.tsv	160	hasPredicate	非難した	accuse		
CrookedMan.tsv	329	hasPredicate	恐れた	afraid		
ACaseOfIdentity.tsv	326	hasProperty	目ざとい	Aim	aim	hasPropertyへ
ACaseOfIdentity.tsv	64	hasProperty	立てている	Angree	angree	
ACaseOfIdentity.tsv	417	hasPredicate	謝る	apologize		
DancingMen.tsv	40	hasPredicate	現れた	appear		
DancingMen.tsv	152	hasPredicate	使われている	appear		本文チェック？
DancingMen.tsv	162	hasPredicate	現れている	appear		
ACaseOfIdentity.tsv	34	hasPredicate	現れる	appear		
ACaseOfIdentity.tsv	513	hasPredicate	いる	Are	exist	
ACaseOfIdentity.tsv	394	hasPredicate	寝ている	Are sleeping	sleeping	sleepにしてよい？
CrookedMan.tsv	81	hasPredicate	言い争っていた	argue		
CrookedMan.tsv	86	hasPredicate	言い争っていた	argue		
CrookedMan.tsv	58	hasPredicate	着く	arrive		
CrookedMan.tsv	174	hasPredicate	ついた	arrive		
DancingMen.tsv	41	hasPredicate	頼んだ	ask		頼むと尋ねるを分けなくてよい？
DancingMen.tsv	144	hasPredicate	頼んだ	ask		
ACaseOfIdentity.tsv	455	hasPredicate	頼む	ask		
ACaseOfIdentity.tsv	462	hasPredicate	尋ねる	ask		
CrookedMan.tsv	200	hasPredicate	頼んだ	ask		
CrookedMan.tsv	338	hasPredicate	尋ねた	ask		
CrookedMan.tsv	363	hasPredicate	聞きに行った	ask		
CrookedMan.tsv	367	hasPredicate	尋ねた	ask		
ACaseOfIdentity.tsv	306	hasProperty	ついている	Attached	attached	hasPropertyへ
ACaseOfIdentity.tsv	308	hasProperty	付いている	attached		hasPropertyへ
ACaseOfIdentity.tsv	309	hasProperty	付いている	attached		hasPropertyへ
ACaseOfIdentity.tsv	311	hasProperty	付いている	attached		hasPropertyへ
ACaseOfIdentity.tsv	330	hasProperty	付いている	attached		hasPropertyへ
CrookedMan.tsv	50	hasPredicate	出席した	attend		
ACaseOfIdentity.tsv	200	hasProperty	悪い	bad		hasPropertyへ
ACaseOfIdentity.tsv	358	hasProperty	悪い	bad		hasPropertyへ
ACaseOfIdentity.tsv	405	hasProperty	悪い	bad		hasPropertyへ
ACaseOfIdentity.tsv	341	hasPredicate	驚く	Be surprised	beSurprised	
CrookedMan.tsv	281	hasPredicate	待ち伏せられていた	beAmbushed		
CrookedMan.tsv	255	hasPredicate	逮捕される	beArrested		対義語の扱い
CrookedMan.tsv	357	hasPredicate	逮捕される	beArrested		
CrookedMan.tsv	73	hasPredicate	頼まれた	beAsked		
CrookedMan.tsv	288	hasPredicate	曲がった	beBent		hasPropertyへ
CrookedMan.tsv	275	hasPredicate	籠城した	beBesieged		能動態は？
CrookedMan.tsv	282	hasPredicate	捕まった	beCaught		
DancingMen.tsv	109	hasPredicate	閉められていた	beClosed		hasPropertyへ
CrookedMan.tsv	235	hasPredicate	なる	become		
CrookedMan.tsv	292	hasPredicate	なった	become		
DancingMen.tsv	5	hasPredicate	踊っている	beDancing		
DancingMen.tsv	104	hasProperty	死んでいた	beDead	dead	
CrookedMan.tsv	269	hasProperty	決められていた	beDecided	decided	
SpeckledBand.tsv	18	hasPredicate	分ける	beDivided		
DancingMen.tsv	1	hasProperty	書かれていた	beDrawn	drawn	
DancingMen.tsv	8	hasProperty	描かれていた	beDrawn	drawn	
DancingMen.tsv	33	hasProperty	描かれた	beDrawn	drawn	
DancingMen.tsv	47	hasProperty	描かれていた	beDrawn	drawn	
DancingMen.tsv	49	hasProperty	描かれていた	beDrawn	drawn	
DancingMen.tsv	50	hasProperty	描かれていた	beDrawn	drawn	
DancingMen.tsv	61	hasProperty	描かれていた	beDrawn	drawn	
DancingMen.tsv	62	hasProperty	描かれていた	beDrawn	drawn	
DancingMen.tsv	62a	hasProperty	描かれていた	beDrawn	drawn	
DancingMen.tsv	72	hasProperty	描かれていた	beDrawn	drawn	
DancingMen.tsv	206	hasProperty	婚約していた	beEngaged	engaged	
DancingMen.tsv	107	hasProperty	充満していた	beFull	full	
DancingMen.tsv	68	hasPredicate	喜んだ	beHappy		
CrookedMan.tsv	6	hasPredicate	殺された	beKilled		
CrookedMan.tsv	102	hasPredicate	殺された	beKilled		
CrookedMan.tsv	105	hasPredicate	殺された	beKilled		
CrookedMan.tsv	291	hasPredicate	殺された	beKilled		
ACaseOfIdentity.tsv	207	hasPredicate	信じる	believe		
ACaseOfIdentity.tsv	244	hasPredicate	信じる	believe		
CrookedMan.tsv	34	hasPredicate	信じている	believe		
CrookedMan.tsv	43	hasPredicate	位置している	beLocated		
CrookedMan.tsv	44	hasPredicate	位置している	beLocated		
DancingMen.tsv	110	hasProperty	鍵がかけられていた	beLocked	locked	
DancingMen.tsv	114	hasProperty	鍵がかけられていた	beLocked	locked	
CrookedMan.tsv	83	hasProperty	鍵がかかっていた	beLocked	locked	
CrookedMan.tsv	7	hasPredicate	所属している	belong	belongTo	
DancingMen.tsv	84	hasPredicate	である	belongTo		要検討 beではだめ？　Property？
DancingMen.tsv	178	hasPredicate	警察である	belongTo		要検討 beではだめ？　Property？
DancingMen.tsv	122	hasProperty	乱れていた	beMoved	moved	
CrookedMan.tsv	101	hasPredicate	移された	beMoved		
CrookedMan.tsv	182	hasProperty	まげていた	bend		Property?
CrookedMan.tsv	285	hasPredicate	助かった	beSaved		
SpeckledBand.tsv	2	hasPredicate	怖がる	beScared		
SpeckledBand.tsv	117	hasPredicate	ふるえた	beScared		ふるえる
SpeckledBand.tsv	156	hasPredicate	真っ青になった	beScared		真っ青になる
DancingMen.tsv	120	hasPredicate	見える	beSeen		look？
CrookedMan.tsv	66	hasProperty	分けられている	beSeparated	separated	
DancingMen.tsv	78	hasPredicate	撃たれた	beShoot	beShot	
DancingMen.tsv	91	hasPredicate	撃ち抜かれている	beShot		
DancingMen.tsv	123	hasPredicate	撃たれた	beShot		
DancingMen.tsv	74	hasPredicate	驚いた	beSurprised		
CrookedMan.tsv	42	hasPredicate	囲まれている	beSurrounded		
CrookedMan.tsv	276	hasPredicate	囲まれていた	beSurrounded		
CrookedMan.tsv	252	hasPredicate	疑われている	beSuspected		
CrookedMan.tsv	330	hasPredicate	疑われる	beSuspected		
CrookedMan.tsv	286	hasPredicate	連れていかれた	beTaken		
CrookedMan.tsv	289	hasPredicate	連れていかれた	beTaken		
CrookedMan.tsv	290	hasPredicate	連れていかれた	beTaken		
CrookedMan.tsv	287	hasPredicate	拷問された	beTortured		
SpeckledBand.tsv	76	hasPredicate	震わせる	beTremble		震える？
SpeckledBand.tsv	3	hasPredicate	動揺する	beUpset		be不要？
SpeckledBand.tsv	364	hasPredicate	噛む	bite		
SpeckledBand.tsv	400	hasPredicate	噛む	bite		
CrookedMan.tsv	316	hasPredicate	非難した	blame		
ACaseOfIdentity.tsv	111	hasPredicate	赤らめる	blush		青ざめると同じ書き方？
ACaseOfIdentity.tsv	418	hasPredicate	煩わせる	Bother	bother	
ACaseOfIdentity.tsv	522	hasPredicate	別れる	break up	breakUp	
SpeckledBand.tsv	375	hasPredicate	橋渡しする	bridge		
DancingMen.tsv	137	hasProperty	裂けていた	burst		
ACaseOfIdentity.tsv	416	hasProperty	忙しい	busy		
SpeckledBand.tsv	28	hasPredicate	買う	buy		
SpeckledBand.tsv	377	hasPredicate	取り寄せる	buy		
SpeckledBand.tsv	143	hasPredicate	計算した	calculate		計算する
DancingMen.tsv	94	hasPredicate	呼んだ	call		
CrookedMan.tsv	84	hasPredicate	呼んだ	call		
CrookedMan.tsv	97	hasPredicate	呼んだ	call		
CrookedMan.tsv	326	hasPredicate	呼ぶ	call		
CrookedMan.tsv	350	hasPredicate	呼んでいる	call		
SpeckledBand.tsv	80	hasPredicate	呼ぶ	call		
SpeckledBand.tsv	386	hasPredicate	呼び戻す	callBak	callBuck	callBuck?　Callのまま？
ACaseOfIdentity.tsv	397	hasPredicate	捉えられない	Can not catch	cannotCatch	CANの書き方にする
ACaseOfIdentity.tsv	150	hasPredicate	来られない	Can not come	cannotCome	CANの書き方にする
ACaseOfIdentity.tsv	466	hasPredicate	逃げられない	can not escape	cannotEscape	CANの書き方にする
ACaseOfIdentity.tsv	549	hasPredicate	扱えない	Can not handle	cannotHandle	CANの書き方にする
ACaseOfIdentity.tsv	270	hasPredicate	会えない	can not meet	cannotMeet	CANの書き方にする
ACaseOfIdentity.tsv	298	hasPredicate	読み取れない	Can not read	cannotRead	CANの書き方にする
ACaseOfIdentity.tsv	264	hasPredicate	眠れない	can not sleep	cannotSleep	CANの書き方にする
ACaseOfIdentity.tsv	123	hasPredicate	止められない	can not stop	cannotStop	CANの書き方にする
ACaseOfIdentity.tsv	297	hasPredicate	読み取れる	Can read	canRead	CANの書き方にする
ACaseOfIdentity.tsv	544	hasPredicate	訴えることができる	Can sue	canSue	CANの書き方にする
CrookedMan.tsv	141	hasPredicate	上ることができる	canClimb		
CrookedMan.tsv	272	hasPredicate	出世できた	canGetAhead		
CrookedMan.tsv	63	hasPredicate	行ける	canGo		
CrookedMan.tsv	274	hasPredicate	結婚できる	canMarry		
SpeckledBand.tsv	121	hasPredicate	何も見当たらなかった	cannotFind		not存在する
SpeckledBand.tsv	T186	hasPredicate	通り抜けできない	cannotGo		cannot通り抜ける
SpeckledBand.tsv	286	hasPredicate	動かせなかった	cannotMove		cannot動かす
SpeckledBand.tsv	190	hasPredicate	失敗した	cannotOpen		失敗する
SpeckledBand.tsv	194	hasPredicate	通れない	cannotOpen		not通る
CrookedMan.tsv	119	hasPredicate	話せなかった	cannotSpeak		
CrookedMan.tsv	128	hasPredicate	持ち出せない	cannotTake		
SpeckledBand.tsv	79	hasPredicate	cannotしゃべる	cannotTalk		
SpeckledBand.tsv	51	hasPredicate	can見る	canSee		
ACaseOfIdentity.tsv	535	hasPredicate	運ぶ	Carry	carry	
CrookedMan.tsv	232	hasPredicate	運んできた	carry		
ACaseOfIdentity.tsv	458	hasPredicate	捕まえる	catch		
ACaseOfIdentity.tsv	461	hasPredicate	捕まえる	catch		
CrookedMan.tsv	364	hasPredicate	追いついた	catch		
DancingMen.tsv	183	hasPredicate	変わった	change		
SpeckledBand.tsv	122	hasPredicate	着替えた	change		着替える
ACaseOfIdentity.tsv	505	hasPredicate	追い払う	Chase away	chaseAway	
ACaseOfIdentity.tsv	571	hasPredicate	確認する	Check	check	
CrookedMan.tsv	335	hasPredicate	上った	climb		
DancingMen.tsv	227	hasPredicate	閉める	close		
ACaseOfIdentity.tsv	36	hasPredicate	閉める	Close	close	
ACaseOfIdentity.tsv	547	hasProperty	閉めている	Closed	closed	Property
CrookedMan.tsv	106	hasPredicate	収集していた	collect		
CrookedMan.tsv	108	hasPredicate	収集した	collect		
DancingMen.tsv	44	hasPredicate	やってきた	come		
DancingMen.tsv	45	hasPredicate	訪ねた	come		
DancingMen.tsv	76	hasPredicate	下車した	come		
DancingMen.tsv	77	hasPredicate	訪れた	come		
DancingMen.tsv	100	hasPredicate	行った	come		
DancingMen.tsv	184	hasPredicate	駆けつけた	come		
DancingMen.tsv	186	hasPredicate	来る	come		
DancingMen.tsv	209	hasPredicate	訪れた	come		
ACaseOfIdentity.tsv	227	hasPredicate	来る	come		
ACaseOfIdentity.tsv	290	hasPredicate	来る	come		
ACaseOfIdentity.tsv	349	hasPredicate	来る	come		
ACaseOfIdentity.tsv	400	hasPredicate	来る	come		
ACaseOfIdentity.tsv	420	hasPredicate	来る	come		
SpeckledBand.tsv	1	hasPredicate	来る	come		
SpeckledBand.tsv	54	hasPredicate	来る	come		
SpeckledBand.tsv	116	hasPredicate	移った	come		移る
SpeckledBand.tsv	128	hasPredicate	参る	come		参る
SpeckledBand.tsv	137	hasPredicate	来た	come		来る
SpeckledBand.tsv	150	hasPredicate	降りた	come		降りる
SpeckledBand.tsv	169	hasPredicate	歩き回った	come		歩き回る
SpeckledBand.tsv	195	hasPredicate	向かった	come		向かう
SpeckledBand.tsv	376	hasPredicate	使う	come		
ACaseOfIdentity.tsv	219	hasPredicate	戻ってくる	Come back	comeBack	
CrookedMan.tsv	204	hasPredicate	落ちぶれた	come down	comeDown	
ACaseOfIdentity.tsv	32	hasPredicate	入ってくる	Come in	comeIn	
CrookedMan.tsv	370	hasPredicate	犯す	commit		
CrookedMan.tsv	371	hasPredicate	犯した	commit		
CrookedMan.tsv	259	hasPredicate	自殺した	commitSuicide		
ACaseOfIdentity.tsv	390	hasPredicate	専念する	concentrate on	concentrateOn	
ACaseOfIdentity.tsv	260	hasPredicate	連絡する	contact		
CrookedMan.tsv	278	hasPredicate	連絡を取る	contact		
ACaseOfIdentity.tsv	75	hasPredicate	続けている	continuing		
DancingMen.tsv	42	hasPredicate	写し取る	copy		
ACaseOfIdentity.tsv	325	hasProperty	正しい	correct		Property
ACaseOfIdentity.tsv	215	hasPredicate	対応する	Correspond	correspond	
ACaseOfIdentity.tsv	13	hasPredicate	渡る	Cross	cross	
ACaseOfIdentity.tsv	265	hasPredicate	泣く	cry		
CrookedMan.tsv	224	hasPredicate	唸ったり泣いたりしていた	cry		
ACaseOfIdentity.tsv	378	hasPredicate	否認する	deny		
CrookedMan.tsv	78	hasPredicate	死んだ	die		
CrookedMan.tsv	95	hasPredicate	死んでいた	die		
CrookedMan.tsv	190	hasPredicate	死んだ	die		
CrookedMan.tsv	301	hasPredicate	死んだ	die		
CrookedMan.tsv	366	hasPredicate	死んだ	die		
SpeckledBand.tsv	14	hasPredicate	死ぬ	die		
SpeckledBand.tsv	32	hasPredicate	死ぬ	die		
SpeckledBand.tsv	39	hasPredicate	死ぬ	die		
SpeckledBand.tsv	86	hasPredicate	死ぬ	die		
SpeckledBand.tsv	106	hasPredicate	死んだ	die		死ぬ
SpeckledBand.tsv	282	hasPredicate	亡くなった	die		死ぬ
SpeckledBand.tsv	358	hasPredicate	死んでいた	die		
SpeckledBand.tsv	365	hasPredicate	死んだ	die		
ACaseOfIdentity.tsv	343	hasProperty	異なる	Different	different	
ACaseOfIdentity.tsv	435	hasProperty	異なる	Different	different	
ACaseOfIdentity.tsv	355	hasPredicate	失踪する	Disappear	disappear	
ACaseOfIdentity.tsv	537	hasPredicate	消える	Disappear	disappear	
SpeckledBand.tsv	309	hasPredicate	消える	disappear		
ACaseOfIdentity.tsv	497	hasPredicate	変装する	Disguise	disguise	
CrookedMan.tsv	115	hasPredicate	歪んでいた	distort		Property?
ACaseOfIdentity.tsv	223	hasPredicate	行う	Do	do	
ACaseOfIdentity.tsv	224	hasPredicate	行う	Do	do	
CrookedMan.tsv	216	hasPredicate	する	do		
ACaseOfIdentity.tsv	471	hasPredicate	訴えない	Do not complain	notComplain	doは不要
ACaseOfIdentity.tsv	519	hasPredicate	行かない	Do not go	notGo	doは不要
ACaseOfIdentity.tsv	368	hasPredicate	持たない	do not have	notHave	doは不要
ACaseOfIdentity.tsv	454	hasPredicate	持たない	do not have	notHave	doは不要
ACaseOfIdentity.tsv	166	hasPredicate	知らない	Do not know	notKnow	doは不要
ACaseOfIdentity.tsv	241	hasPredicate	わからない	do not know	notKnow	doは不要
ACaseOfIdentity.tsv	254	hasPredicate	知らない	Do not know	notKnow	doは不要
ACaseOfIdentity.tsv	279	hasPredicate	知らない	Do not know	notKnow	doは不要
ACaseOfIdentity.tsv	542	hasPredicate	知らない	Do not know	notKnow	doは不要
ACaseOfIdentity.tsv	532	hasPredicate	愛さない	Do not love	notLove	doは不要
ACaseOfIdentity.tsv	162	hasPredicate	会わない	Do not meet	notMeet	doは不要
ACaseOfIdentity.tsv	239	hasPredicate	送らない	do not send	notSend	doは不要
ACaseOfIdentity.tsv	240	hasPredicate	見せない	Do not show	notShow	doは不要
ACaseOfIdentity.tsv	242	hasPredicate	捨てない	do not throw	notThrow	doは不要
ACaseOfIdentity.tsv	263	hasPredicate	欲してない	Do not want	notWant	doは不要
ACaseOfIdentity.tsv	419	hasPredicate	望まない	Do not want	notWant	doは不要
ACaseOfIdentity.tsv	214	hasPredicate	心配しない	do not worry	notWorry	doは不要
DancingMen.tsv	30	hasPredicate	描いた	draw		
DancingMen.tsv	210	hasPredicate	描いた	draw		
ACaseOfIdentity.tsv	431	hasPredicate	落とす	Drop	drop	
CrookedMan.tsv	334	hasPredicate	落とした	drop		
ACaseOfIdentity.tsv	57	hasPredicate	稼ぐ	Earn	earn	
CrookedMan.tsv	298	hasPredicate	稼いだ	earn		
CrookedMan.tsv	307	hasPredicate	稼ぐ	earn		
ACaseOfIdentity.tsv	226	hasPredicate	食べる	eat		
ACaseOfIdentity.tsv	398	hasPredicate	響く	Echo	echo	
ACaseOfIdentity.tsv	30	hasPredicate	解ける	EnableSolve	cnaSolve	
ACaseOfIdentity.tsv	23	hasPredicate	遭う	Encounter	encounter	
CrookedMan.tsv	57	hasPredicate	終了した	end		
SpeckledBand.tsv	338	hasPredicate	言う	end		本文チェック
SpeckledBand.tsv	37	hasPredicate	婚約する	engage		
ACaseOfIdentity.tsv	524	hasPredicate	刻む	Engrave		
ACaseOfIdentity.tsv	99	hasProperty	十分である	Enough	enough	Property
ACaseOfIdentity.tsv	101	hasProperty	十分である	Enough	enough	Property
ACaseOfIdentity.tsv	107	hasProperty	十分である	Enough	enough	Property
DancingMen.tsv	188	hasPredicate	入った	enter		
ACaseOfIdentity.tsv	152	hasPredicate	入る	enter		
ACaseOfIdentity.tsv	237	hasPredicate	入る	enter		
CrookedMan.tsv	92	hasPredicate	入った	enter		
CrookedMan.tsv	129	hasPredicate	入った	enter		
CrookedMan.tsv	131	hasPredicate	入った	enter		
CrookedMan.tsv	231	hasPredicate	入った	enter		
CrookedMan.tsv	320	hasPredicate	入った	enter		
DancingMen.tsv	10	hasPredicate	である	equalTo		
DancingMen.tsv	147	hasPredicate	である	equalTo		
DancingMen.tsv	148	hasPredicate	である	equalTo		
DancingMen.tsv	151	hasPredicate	である	equalTo		
DancingMen.tsv	158	hasPredicate	かもしれない	equalTo		
DancingMen.tsv	159	hasPredicate	である	equalTo		
DancingMen.tsv	166	hasPredicate	である	equalTo		
DancingMen.tsv	167	hasPredicate	である	equalTo		
DancingMen.tsv	169a	hasPredicate	である	equalTo		
DancingMen.tsv	170	hasPredicate	である	equalTo		
DancingMen.tsv	171	hasPredicate	である	equalTo		
DancingMen.tsv	172	hasPredicate	意味する	equalTo		
DancingMen.tsv	173	hasPredicate	指す	equalTo		
DancingMen.tsv	173c	hasPredicate	である	equalTo		
DancingMen.tsv	179	hasPredicate	である	equalTo		
DancingMen.tsv	203	hasPredicate	だった	equalTo		
DancingMen.tsv	229	hasPredicate	である	equalTo		
CrookedMan.tsv	9	hasPredicate	equalTo	equalTo		
CrookedMan.tsv	11	hasPredicate	equalTo	equalTo		
CrookedMan.tsv	15	hasPredicate	equalTo	equalTo		
CrookedMan.tsv	16	hasPredicate	equalTo	equalTo		
CrookedMan.tsv	28	hasPredicate	equalTo	equalTo		
CrookedMan.tsv	65	hasPredicate	equalTo	equalTo		
CrookedMan.tsv	126	hasPredicate	equalTo	equalTo		
CrookedMan.tsv	137	hasPredicate	equalTo	equalTo		
CrookedMan.tsv	138	hasPredicate	equalTo	equalTo		
CrookedMan.tsv	266	hasPredicate	equalTo	equalTo		
CrookedMan.tsv	347	hasPredicate	equalTo	equalTo		
CrookedMan.tsv	349	hasPredicate	equalTo	equalTo		
CrookedMan.tsv	351	hasPredicate	equalTo	equalTo		
CrookedMan.tsv	369	hasPredicate	equalTo	equalTo		
SpeckledBand.tsv	9	hasPredicate	equalTo	equalTo		
SpeckledBand.tsv	13	hasPredicate	equalTo	equalTo		
SpeckledBand.tsv	25	hasPredicate	仲がよい	equalTo		本文チェック
SpeckledBand.tsv	339	hasPredicate	equalTo	equalTo		
SpeckledBand.tsv	363	hasPredicate	equalTo	equalTo		である
SpeckledBand.tsv	401	hasPredicate		equalTo		本文チェック
DancingMen.tsv	195	hasPredicate	逃げる	escape		
ACaseOfIdentity.tsv	557	hasPredicate	逃げる	escape		
SpeckledBand.tsv	24	hasPredicate	逃げる	escape		
DancingMen.tsv	67	hasPredicate	調べた	examine		
ACaseOfIdentity.tsv	267	hasPredicate	調べる	Examine	examine	
CrookedMan.tsv	5	hasPredicate	調べている	examine		
DancingMen.tsv	92	hasPredicate	落ちていた	exist		
DancingMen.tsv	102	hasPredicate	ともっていた	exist		
DancingMen.tsv	118	hasPredicate	ある	exist		
DancingMen.tsv	119	hasPredicate	置かれている	exist		
DancingMen.tsv	124	hasPredicate	あった	exist		
DancingMen.tsv	131	hasPredicate	いた	exist		
DancingMen.tsv	135	hasPredicate	あった	exist		
DancingMen.tsv	136	hasPredicate	入っていた	exist		
DancingMen.tsv	140	hasPredicate	ある	exist		
DancingMen.tsv	143	hasPredicate	いる	exist		
ACaseOfIdentity.tsv	16	hasPredicate	ある	exist		
ACaseOfIdentity.tsv	89	hasPredicate	いる	Exist	exist	
CrookedMan.tsv	59	hasPredicate	いる	exist		
CrookedMan.tsv	69	hasPredicate	いた	exist		
CrookedMan.tsv	75	hasPredicate	いた	exist		
CrookedMan.tsv	162	hasPredicate	いた	exist		
CrookedMan.tsv	263	hasPredicate	いた	exist		
CrookedMan.tsv	372	hasPredicate	わかる	exist		
CrookedMan.tsv	373	hasPredicate	ある	exist		
SpeckledBand.tsv	20	hasPredicate	存在する	exist		
SpeckledBand.tsv	43	hasPredicate	存在する	exist		
SpeckledBand.tsv	44	hasPredicate	存在する	exist		
SpeckledBand.tsv	45	hasPredicate	存在する	exist		
SpeckledBand.tsv	48	hasPredicate	存在する	exist		
SpeckledBand.tsv	49	hasPredicate	存在する	exist		
SpeckledBand.tsv	50	hasPredicate	存在する	exist		
SpeckledBand.tsv	66	hasPredicate	吹く	exist		
SpeckledBand.tsv	102	hasPredicate	通してある	exist		通す
SpeckledBand.tsv	103	hasPredicate	ひとりだった	exist		存在する
SpeckledBand.tsv	107	hasPredicate	いた	exist		存在する
SpeckledBand.tsv	126	hasPredicate	ある	exist		存在する
SpeckledBand.tsv	166	hasPredicate	組んである	exist		組まれる
SpeckledBand.tsv	172	hasPredicate	端	exist		端
SpeckledBand.tsv	173	hasPredicate	ある	exist		ある
SpeckledBand.tsv	174	hasPredicate	母屋に一番近い	exist		母屋に近い
SpeckledBand.tsv	175	hasPredicate	寝ている	exist		寝る
SpeckledBand.tsv	179	hasPredicate	ある	exist		存在する
SpeckledBand.tsv	183	hasPredicate	ある	exist		存在する
SpeckledBand.tsv	184	hasPredicate	ある	exist		存在する
SpeckledBand.tsv	185	hasPredicate	ある	exist		存在する
SpeckledBand.tsv	192	hasPredicate	埋め込んである	exist		埋め込む
SpeckledBand.tsv	247	hasPredicate	いる	exist		
SpeckledBand.tsv	248	hasPredicate	いる	exist		
SpeckledBand.tsv	254	hasPredicate	あった	exist		
SpeckledBand.tsv	269	hasPredicate	いる	exist		
SpeckledBand.tsv	276	hasPredicate	あるはず	exist		
SpeckledBand.tsv	287	hasPredicate	同じ位置関係だった	exist		
SpeckledBand.tsv	306	hasPredicate	放たれた	exist		
SpeckledBand.tsv	313	hasPredicate	動く気配がする	exist		動く
SpeckledBand.tsv	343	hasPredicate	あった	exist		ある
SpeckledBand.tsv	345	hasPredicate	あった	exist		ある
SpeckledBand.tsv	350	hasPredicate	あった	exist		ある
SpeckledBand.tsv	368	hasPredicate	存在する	exist		いる
SpeckledBand.tsv	390	hasPredicate	存在する	exist		
SpeckledBand.tsv	71	hasPredicate	出る	exit		
SpeckledBand.tsv	209	hasPredicate	垂れ下がっている	exit		垂れ下がる
SpeckledBand.tsv	210	hasPredicate	のっている	exit		のる
SpeckledBand.tsv	212	hasPredicate	つけた	exit		つく
SpeckledBand.tsv	281	hasPredicate	つるされた	exit		置かれた
SpeckledBand.tsv	372	hasPredicate	垂れている	exit		
SpeckledBand.tsv	274	hasPredicate	予想していた	expect		
CrookedMan.tsv	61	hasPredicate	面している	face		
SpeckledBand.tsv	180	hasPredicate	面している	face		面する
SpeckledBand.tsv	181	hasPredicate	面している	face		面する
SpeckledBand.tsv	182	hasPredicate	面している	face		面する
CrookedMan.tsv	94	hasProperty	気を失っていた	faint		Property？
CrookedMan.tsv	100	hasProperty	気を失っていた	faint		Property？
